sku,name,price,stock,description
"SKU00000001","Smartwatch 313",3723.43,417,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000002","Tablet 654",252.24,90,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000003","Drone 182",2644.95,378,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000004","Drone 199",3873.18,394,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000005","Laptop 122",4521.57,123,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000006","Console 242",4851.88,169,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000007","Printer 714",82.9,87,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000008","Speaker 992",2787.9,242,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000009","Mouse 552",3353.75,204,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000010","Printer 319",4858.72,42,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000011","Printer 564",303.3,207,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000012","Console 753",4447.45,453,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000013","Smartwatch 670",3252.69,217,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000014","Printer 217",19.3,334,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000015","Drone 461",2970.19,283,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000016","Smartphone 136",1611.92,368,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000017","Smartphone 534",4997.18,320,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000018","Monitor 349",950.29,85,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000019","Tablet 492",246.52,415,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000020","Drone 592",4220.53,282,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000021","Laptop 183",741.22,200,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000022","Keyboard 682",4237.38,221,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000023","Router 159",3208.09,151,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
